Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
ABC News,The tallest building in Kentucky's capital city came crashing down in a controlled implosion over the weekend.… https://t.co/Sy9glgRjj9,Mon Mar 12 10:30:10 +0000 2018,0.0,0.0,1.0,0.0,98
ABC News,Video shows firefighters at the site of a plane crash at Kathmandu airport in Nepal as the rescue operation continu… https://t.co/BIr2OHfBk5,Mon Mar 12 10:19:33 +0000 2018,0.1531,0.137,0.75,0.113,99
ABC News,Clouds of smoke are seen rising from the scene of a passenger plane crash at Kathmandu airport in Nepal. The plane… https://t.co/RokTvef0yR,Mon Mar 12 10:01:38 +0000 2018,-0.4019,0.0,0.881,0.119,100
ABC News,'Explosive sounds' are heard during the eruption of Mount Shinmoedake that lit up the night sky in Japan. The volca… https://t.co/SQwbOI4hay,Mon Mar 12 09:54:53 +0000 2018,0.0,0.0,1.0,0.0,101
ABC News,"DEVELOPING: Passenger plane crashes while landing at Kathmandu airport, airport official says. It is unclear whethe… https://t.co/BItoPKJO67",Mon Mar 12 09:35:05 +0000 2018,-0.25,0.0,0.889,0.111,102
ABC News,Five people have died after a helicopter crashed into the East River in New York City. Only the pilot survived the… https://t.co/PT6BXdYWsi,Mon Mar 12 09:29:03 +0000 2018,-0.0772,0.127,0.734,0.139,103
ABC News,Authorities recover the black box from a Turkish private jet that crashed in Iran while traveling from the United A… https://t.co/SyksBO79ng,Mon Mar 12 09:11:57 +0000 2018,0.4215,0.128,0.872,0.0,104
ABC News,The pilot in the Manhattan helicopter crash that killed all five passengers has been treated and released from hosp… https://t.co/pSXyTI2qcd,Mon Mar 12 09:04:42 +0000 2018,-0.802,0.0,0.714,0.286,105
ABC News,"Country music star Tim McGraw collapsed on stage during a show in Ireland on Sunday.

""He was attended to by local… https://t.co/tzP2vED4ao",Mon Mar 12 08:49:29 +0000 2018,-0.2732,0.0,0.905,0.095,106
ABC News,"White House deputy press secretary says Pres. Trump still ""intends to"" meet with special counsel Robert Mueller und… https://t.co/IdQfXADlx0",Mon Mar 12 08:31:03 +0000 2018,0.4019,0.13,0.87,0.0,107
ABC News,"The Trump administration is promising consumers a digital-age health care approach, with officials promising consum… https://t.co/bYkpfDF8gj",Mon Mar 12 07:55:45 +0000 2018,0.8225,0.417,0.583,0.0,108
ABC News,"Students, teachers, parents and administrators across the country are invited to take part in a National School Wal… https://t.co/26QSzqgSJh",Mon Mar 12 07:31:07 +0000 2018,0.0,0.0,1.0,0.0,109
ABC News,"Mattis says the Trump administration has made it clear to the Syrian government that it would be ""very unwise"" to u… https://t.co/BQupskP8ZD",Mon Mar 12 06:57:16 +0000 2018,0.3818,0.11,0.89,0.0,110
ABC News,The more the merrier! These playful gray whales let a humpback whale join their frolicking in the waters off the Mo… https://t.co/Z1KKwlbvLP,Mon Mar 12 06:31:43 +0000 2018,0.8111,0.317,0.683,0.0,111
